ts_code,start_date,hy_code
000422,1996/7/25,220301
000422,2017/6/29,220202
000422,2022/7/29,220801
000423,1996/7/29,370201
000425,1996/8/28,260202
000425,2014/1/1,640201
000425,2021/7/30,640601
000426,1996/8/28,410104
000426,2012/7/2,240104
000426,2014/1/1,240303
000428,1996/8/8,460201
000428,2021/7/30,460901
000429,1998/2/20,420201
000429,2021/7/30,420901
000430,1996/8/29,460102
000430,2021/7/30,461003
000488,2000/11/20,360101
000488,2021/7/30,360102
000498,1997/6/9,220403
000498,2013/7/1,250204
000498,2014/1/1,620302
000498,2021/7/30,620306
000501,1992/11/20,450101
000501,2014/1/1,450303
000501,2017/6/29,450301
000502,1991/6/5,460201
000502,2003/5/1,430101
000502,2021/7/30,430301
000503,1992/11/30,470201
000503,2014/1/1,720301
000503,2017/5/26,370601
000503,2021/7/30,710401
000504,1992/12/8,470401
000504,2014/1/1,720101
000504,2019/7/24,370301
000504,2021/7/30,370605
000505,1992/12/21,430101
000505,2018/7/13,110502
000506,1993/3/12,240201
000506,2008/6/2,240202
000506,2009/1/1,430101
000506,2015/7/1,240401
000506,2018/6/19,430101
000506,2022/7/29,240401
000507,1993/3/26,510101
000507,2011/1/10,420101
000507,2021/7/30,421102
000508,1993/1/30,110601
000509,1993/5/7,510101
000509,2011/10/10,250104
000509,2014/1/1,610303
000509,2019/7/24,370601
000509,2021/7/30,370604
000509,2022/7/29,270301
000510,1993/5/7,220202
000511,1993/5/18,430101
000511,2014/1/1,240203
000513,1993/10/28,370103
000513,2008/1/2,370102
000514,1993/7/12,430101
000515,1993/7/12,220203
000516,1993/8/9,450101
000516,2014/1/1,450301
000516,2019/5/13,370601
000516,2021/7/30,370604
000517,1989/3/1,260404
000517,2000/5/1,320101
000517,2007/7/2,430101
000517,2008/6/2,320101
000517,2010/1/1,430101
000518,1993/9/8,350101
000518,2011/1/10,370301
000518,2021/7/30,370304
000519,1993/10/8,260104
000519,2014/1/1,640104
000519,2015/7/1,240203
000519,2017/6/29,650301
000520,1993/10/25,220101
000520,2006/9/1,420601
000520,2021/7/30,421101
000521,1993/10/18,330101
000521,2021/7/30,330106
000522,1993/11/8,370102
000523,1993/11/8,220304
000523,2021/7/30,770102
000524,1993/11/18,460201
000524,2018/7/13,460301
000524,2021/7/30,461004
000525,1993/10/28,220303
000525,2021/7/30,220803
000526,1992/9/21,110201
000526,2000/5/1,430101
000526,2009/10/9,360201
000526,2012/1/2,430101
000526,2017/6/29,720302
000526,2021/7/30,461102
000527,1993/11/12,330102
000528,1993/11/18,260202
000528,2014/1/1,640201
000528,2021/7/30,640601
000529,1993/11/18,350101
000529,2011/1/10,510101
000529,2019/7/24,720101
000529,2021/7/30,720901
000530,1993/12/8,260105
000530,2014/1/1,640105
000531,1994/1/6,410103
000531,2017/6/29,410101
000532,1994/1/3,410103
000532,2007/7/2,270201
000532,2011/10/10,270203
000532,2021/7/30,490307
000533,1994/1/3,330104
000533,2007/7/2,260404
000533,2012/1/2,330104
000533,2019/7/24,630402
000533,2021/7/30,630801
000534,1994/1/10,410103
000534,2010/1/8,430101
000534,2020/7/22,370301
000534,2021/7/30,370304
000535,1993/11/30,230201
000536,1993/11/26,260401
000536,2011/1/10,270301
000537,1993/12/10,320201
000537,2007/7/2,430101
000537,2022/8/26,410107
000538,1993/12/15,370201
000539,1993/11/26,410101
000540,1993/12/6,250202
000540,2001/5/1,430101
000541,1993/11/23,270401
000541,2017/6/29,270302
000541,2021/7/30,330501
000542,1993/12/1,320102
000543,1993/12/20,410101
000544,1993/12/8,260103
000544,2006/9/1,410201
000544,2021/7/30,760102
000545,1993/12/15,370101
000545,2014/1/1,220204
000545,2021/7/30,220206
000546,1993/11/10,260102
000546,2002/5/1,430101
000546,2014/1/1,510101
000546,2015/7/1,610101
