,GROUP_CODE,GROUP_NAV_DATE,GROUP_REH_VALUE
904,ZH032095,2020-02-28,1.6112
906,ZH032095,2020-03-02,1.6604
910,ZH032095,2020-03-03,1.6678
913,ZH032095,2020-03-04,1.6606
916,ZH032095,2020-03-05,1.6674
919,ZH032095,2020-03-06,1.6521
922,ZH032095,2020-03-09,1.585
924,ZH032095,2020-03-10,1.6294
928,ZH032095,2020-03-11,1.5989
932,ZH032095,2020-03-12,1.5676
934,ZH032095,2020-03-13,1.559
936,ZH032095,2020-03-16,1.4768
940,ZH032095,2020-03-17,1.4738
943,ZH032095,2020-03-18,1.4497
946,ZH032095,2020-03-19,1.4551
949,ZH032095,2020-03-20,1.4789
951,ZH032095,2020-03-23,1.4254
956,ZH032095,2020-03-25,1.5049
957,ZH032095,2020-03-24,1.4648
961,ZH032095,2020-03-26,1.498
963,ZH032095,2020-03-27,1.4916
967,ZH032095,2020-03-30,1.4627
970,ZH032095,2020-03-31,1.4667
973,ZH032095,2020-04-01,1.4694
976,ZH032095,2020-04-02,1.5049
978,ZH032095,2020-04-03,1.4965
982,ZH032095,2020-04-07,1.5469
985,ZH032095,2020-04-08,1.5427
988,ZH032095,2020-04-09,1.5572
991,ZH032095,2020-04-10,1.526
994,ZH032095,2020-04-13,1.5164
997,ZH032095,2020-04-14,1.5535
1000,ZH032095,2020-04-15,1.5418
1002,ZH032095,2020-04-16,1.5521
1006,ZH032095,2020-04-17,1.5569
1009,ZH032095,2020-04-20,1.5735
1012,ZH032095,2020-04-21,1.5636
1015,ZH032095,2020-04-22,1.5779
1018,ZH032095,2020-04-23,1.5663
1021,ZH032095,2020-04-24,1.5494
1024,ZH032095,2020-04-27,1.5537
1026,ZH032095,2020-04-28,1.5659
1030,ZH032095,2020-04-29,1.5709
1033,ZH032095,2020-04-30,1.6014
1035,ZH032095,2020-05-06,1.6279
1039,ZH032095,2020-05-07,1.6284
1042,ZH032095,2020-05-08,1.6423
1045,ZH032095,2020-05-11,1.6322
1048,ZH032095,2020-05-12,1.6486
1051,ZH032095,2020-05-13,1.6582
1054,ZH032095,2020-05-14,1.6447
1057,ZH032095,2020-05-15,1.646
1061,ZH032095,2020-05-18,1.6451
1063,ZH032095,2020-05-19,1.6653
1066,ZH032095,2020-05-20,1.6468
1070,ZH032095,2020-05-21,1.6237
1072,ZH032095,2020-05-22,1.5924
1075,ZH032095,2020-05-25,1.59
1078,ZH032095,2020-05-26,1.6254
1080,ZH032095,2020-05-27,1.6012
1084,ZH032095,2020-05-28,1.6007
1086,ZH032095,2020-05-29,1.623
1090,ZH032095,2020-06-01,1.6673
1093,ZH032095,2020-06-02,1.6551
1096,ZH032095,2020-06-03,1.6562
1100,ZH032095,2020-06-04,1.6571
1102,ZH032095,2020-06-05,1.6677
1105,ZH032095,2020-06-08,1.6604
1109,ZH032095,2020-06-09,1.6749
1111,ZH032095,2020-06-10,1.6897
1114,ZH032095,2020-06-11,1.6895
1117,ZH032095,2020-06-12,1.6904
1119,ZH032095,2020-06-15,1.6777
1123,ZH032095,2020-06-16,1.7109
1126,ZH032095,2020-06-17,1.7112
1129,ZH032095,2020-06-18,1.7185
1132,ZH032095,2020-06-19,1.743
1135,ZH032095,2020-06-22,1.7552
1138,ZH032095,2020-06-23,1.7791
1140,ZH032095,2020-06-24,1.7826
1144,ZH032095,2020-06-29,1.7759
1147,ZH032095,2020-06-30,1.8167
1150,ZH032095,2020-07-01,1.8206
1153,ZH032095,2020-07-02,1.8208
1155,ZH032095,2020-07-03,1.8309
1159,ZH032095,2020-07-06,1.878
1162,ZH032095,2020-07-07,1.9165
1166,ZH032095,2020-07-08,1.9468
1168,ZH032095,2020-07-09,1.9942
1171,ZH032095,2020-07-10,1.9993
1174,ZH032095,2020-07-13,2.0521
1177,ZH032095,2020-07-14,2.035
1180,ZH032095,2020-07-15,2.0188
1182,ZH032095,2020-07-16,1.9262
1186,ZH032095,2020-07-17,1.9501
1188,ZH032095,2020-07-20,1.9906
1192,ZH032095,2020-07-21,2.0204
1195,ZH032095,2020-07-22,2.0399
1198,ZH032095,2020-07-23,2.0542
1201,ZH032095,2020-07-24,1.947
1204,ZH032095,2020-07-27,1.9529
1341,ZH032095,2020-07-28,1.983
1346,ZH032095,2020-07-29,2.0398
1350,ZH032095,2020-07-30,2.0334
1355,ZH032095,2020-07-31,2.0578
1359,ZH032095,2020-08-03,2.0942
1361,ZH032095,2020-08-04,2.0809
1368,ZH032095,2020-08-05,2.0961
1370,ZH032095,2020-08-06,2.0767
1373,ZH032095,2020-08-07,2.0644
1379,ZH032095,2020-08-10,2.0534
1382,ZH032095,2020-08-11,2.0244
1653,ZH032095,2020-08-12,1.9907
1657,ZH032095,2020-08-13,1.9829
1663,ZH032095,2020-08-14,2.013
1665,ZH032095,2020-08-17,2.0405
1669,ZH032095,2020-08-18,2.0569
1672,ZH032095,2020-08-19,2.0133
1676,ZH032095,2020-08-20,1.9905
1681,ZH032095,2020-08-21,2.0151
1684,ZH032095,2020-08-24,2.0463
1689,ZH032095,2020-08-25,2.0435
1693,ZH032095,2020-08-26,2.0084
1699,ZH032095,2020-08-27,2.0295
1702,ZH032095,2020-08-28,2.0642
1704,ZH032095,2020-08-31,2.0568
1708,ZH032095,2020-09-01,2.071
1714,ZH032095,2020-09-03,2.065
1715,ZH032095,2020-09-02,2.0795
1721,ZH032095,2020-09-04,2.052
1724,ZH032095,2020-09-07,1.9919
1728,ZH032095,2020-09-08,1.9853
1735,ZH032095,2020-09-09,1.9233
1739,ZH032095,2020-09-10,1.9158
1742,ZH032095,2020-09-11,1.9571
1744,ZH032095,2020-09-14,1.9697
1748,ZH032095,2020-09-15,1.9913
1753,ZH032095,2020-09-16,1.9762
1757,ZH032095,2020-09-17,1.9858
1761,ZH032095,2020-09-18,2.0102
1764,ZH032095,2020-09-21,1.9939
1768,ZH032095,2020-09-22,1.9779
1772,ZH032095,2020-09-23,2.004
1777,ZH032095,2020-09-24,1.9597
1780,ZH032095,2020-09-25,1.9566
1785,ZH032095,2020-09-28,1.953
1790,ZH032095,2020-09-29,1.9724
1794,ZH032095,2020-09-30,1.973
1799,ZH032095,2020-10-09,2.0314
1801,ZH032095,2020-10-12,2.0798
1807,ZH032095,2020-10-13,2.0903
1809,ZH032095,2020-10-14,2.074
1813,ZH032095,2020-10-15,2.0543
1817,ZH032095,2020-10-16,2.0432
1820,ZH032095,2020-10-19,2.0153
1826,ZH032095,2020-10-20,2.0355
1829,ZH032095,2020-10-21,2.0087
1832,ZH032095,2020-10-22,1.9919
1836,ZH032095,2020-10-23,1.9444
1841,ZH032095,2020-10-26,1.9649
1845,ZH032095,2020-10-27,1.9865
1848,ZH032095,2020-10-28,2.0
1853,ZH032095,2020-10-29,2.017
1856,ZH032095,2020-10-30,1.9929
1863,ZH032095,2020-11-02,2.0223
1867,ZH032095,2020-11-03,2.0368
1869,ZH032095,2020-11-04,2.0476
1872,ZH032095,2020-11-05,2.0783
1877,ZH032095,2020-11-06,2.061
1880,ZH032095,2020-11-09,2.1009
1885,ZH032095,2020-11-10,2.0852
1889,ZH032095,2020-11-11,2.0579
1893,ZH032095,2020-11-12,2.0692
1896,ZH032095,2020-11-13,2.0555
1901,ZH032095,2020-11-16,2.0566
1905,ZH032095,2020-11-17,2.0352
1909,ZH032095,2020-11-18,2.0226
1913,ZH032095,2020-11-19,2.0432
1918,ZH032095,2020-11-20,2.0556
1921,ZH032095,2020-11-23,2.0646
1924,ZH032095,2020-11-24,2.0547
1929,ZH032095,2020-11-25,2.0191
1933,ZH032095,2020-11-26,2.0103
1937,ZH032095,2020-11-27,2.0254
1941,ZH032095,2020-11-30,2.0181
1945,ZH032095,2020-12-01,2.0577
1949,ZH032095,2020-12-02,2.0644
1953,ZH032095,2020-12-03,2.0642
1957,ZH032095,2020-12-04,2.0808
1961,ZH032095,2020-12-07,2.0825
1965,ZH032095,2020-12-08,2.0826
1969,ZH032095,2020-12-09,2.0564
1973,ZH032095,2020-12-10,2.0635
1978,ZH032095,2020-12-11,2.036
1981,ZH032095,2020-12-14,2.0577
1985,ZH032095,2020-12-15,2.0689
1989,ZH032095,2020-12-16,2.0722
1993,ZH032095,2020-12-17,2.0888
1997,ZH032095,2020-12-18,2.0804
2001,ZH032095,2020-12-21,2.1181
2005,ZH032095,2020-12-22,2.0872
2009,ZH032095,2020-12-23,2.1141
2013,ZH032095,2020-12-24,2.1059
2017,ZH032095,2020-12-25,2.1364
2021,ZH032095,2020-12-28,2.1335
2024,ZH032095,2020-12-29,2.115
2030,ZH032095,2020-12-30,2.1474
2034,ZH032095,2020-12-31,2.1877
2037,ZH032095,2021-01-04,2.2295
2041,ZH032095,2021-01-05,2.2636
2046,ZH032095,2021-01-06,2.2723
2049,ZH032095,2021-01-07,2.3058
2053,ZH032095,2021-01-08,2.2937
2057,ZH032095,2021-01-11,2.2755
2061,ZH032095,2021-01-12,2.3284
2065,ZH032095,2021-01-13,2.3173
2070,ZH032095,2021-01-14,2.2813
2073,ZH032095,2021-01-15,2.2827
2077,ZH032095,2021-01-18,2.3282
2081,ZH032095,2021-01-19,2.2944
2085,ZH032095,2021-01-20,2.3328
2088,ZH032095,2021-01-21,2.3713
2092,ZH032095,2021-01-22,2.3973
2098,ZH032095,2021-01-25,2.4127
2100,ZH032095,2021-01-26,2.3617
2105,ZH032095,2021-01-27,2.3723
2108,ZH032095,2021-01-28,2.301
2113,ZH032095,2021-01-29,2.2962
2117,ZH032095,2021-02-01,2.3314
2122,ZH032095,2021-02-02,2.3772
2125,ZH032095,2021-02-03,2.3706
2128,ZH032095,2021-02-04,2.3572
2133,ZH032095,2021-02-05,2.3381
2137,ZH032095,2021-02-08,2.3851
2141,ZH032095,2021-02-09,2.4446
2145,ZH032095,2021-02-10,2.4883
2150,ZH032095,2021-02-18,2.4569
2153,ZH032095,2021-02-19,2.4347
2159,ZH032095,2021-02-22,2.3481
2161,ZH032095,2021-02-23,2.3442
2165,ZH032095,2021-02-24,2.2825
2168,ZH032095,2021-02-25,2.2843
2173,ZH032095,2021-02-26,2.2375
2177,ZH032095,2021-03-01,2.2869
2181,ZH032095,2021-03-02,2.2696
2185,ZH032095,2021-03-03,2.2977
2189,ZH032095,2021-03-04,2.2228
2193,ZH032095,2021-03-05,2.2217
2198,ZH032095,2021-03-08,2.1429
2201,ZH032095,2021-03-09,2.0922
2204,ZH032095,2021-03-10,2.1122
2208,ZH032095,2021-03-11,2.1534
2212,ZH032095,2021-03-12,2.1543
2219,ZH032095,2021-03-15,2.1121
2222,ZH032095,2021-03-16,2.1215
2224,ZH032095,2021-03-17,2.1394
2231,ZH032095,2021-03-18,2.1576
2234,ZH032095,2021-03-19,2.1178
2237,ZH032095,2021-03-22,2.1371
2242,ZH032095,2021-03-23,2.1201
2246,ZH032095,2021-03-24,2.0832
2249,ZH032095,2021-03-25,2.0969
2253,ZH032095,2021-03-26,2.1404
2257,ZH032095,2021-03-29,2.145
2261,ZH032095,2021-03-30,2.1613
2264,ZH032095,2021-03-31,2.1453
2269,ZH032095,2021-04-01,2.1655
2273,ZH032095,2021-04-02,2.183
2278,ZH032095,2021-04-06,2.1801
2281,ZH032095,2021-04-07,2.167
2284,ZH032095,2021-04-08,2.1727
2290,ZH032095,2021-04-09,2.1498
2294,ZH032095,2021-04-12,2.1038
2297,ZH032095,2021-04-13,2.1038
2301,ZH032095,2021-04-14,2.1232
2305,ZH032095,2021-04-15,2.1207
2309,ZH032095,2021-04-16,2.1272
2314,ZH032095,2021-04-19,2.171
2318,ZH032095,2021-04-20,2.1726
2322,ZH032095,2021-04-21,2.1792
2326,ZH032095,2021-04-22,2.1864
2330,ZH032095,2021-04-23,2.1986
2334,ZH032095,2021-04-26,2.1895
2337,ZH032095,2021-04-27,2.1962
2342,ZH032095,2021-04-28,2.2042
2346,ZH032095,2021-04-29,2.2082
2350,ZH032095,2021-04-30,2.1997
2354,ZH032095,2021-05-06,2.1866
2358,ZH032095,2021-05-07,2.15
2361,ZH032095,2021-05-10,2.1372
2365,ZH032095,2021-05-11,2.1371
2369,ZH032095,2021-05-12,2.1425
2373,ZH032095,2021-05-13,2.1218
2378,ZH032095,2021-05-14,2.1527
2381,ZH032095,2021-05-17,2.1837
2384,ZH032095,2021-05-18,2.1832
2389,ZH032095,2021-05-19,2.1856
2394,ZH032095,2021-05-20,2.1891
2397,ZH032095,2021-05-21,2.1751
2402,ZH032095,2021-05-24,2.1888
2406,ZH032095,2021-05-25,2.2296
2408,ZH032095,2021-05-26,2.2235
2414,ZH032095,2021-05-27,2.2452
2417,ZH032095,2021-05-28,2.2398
2422,ZH032095,2021-05-31,2.2597
2425,ZH032095,2021-06-01,2.2676
2430,ZH032095,2021-06-02,2.2517
2434,ZH032095,2021-06-03,2.2391
2438,ZH032095,2021-06-04,2.2557
2441,ZH032095,2021-06-07,2.266
2446,ZH032095,2021-06-08,2.2483
2449,ZH032095,2021-06-09,2.2517
2454,ZH032095,2021-06-10,2.2705
2457,ZH032095,2021-06-11,2.2526
2461,ZH032095,2021-06-15,2.2404
2470,ZH032095,2021-06-17,2.2191
2471,ZH032095,2021-06-16,2.1938
2474,ZH032095,2021-06-18,2.2303
2478,ZH032095,2021-06-21,2.2408
2481,ZH032095,2021-06-22,2.2538
2486,ZH032095,2021-06-23,2.2723
2490,ZH032095,2021-06-24,2.2718
2494,ZH032095,2021-06-25,2.2911
2497,ZH032095,2021-06-28,2.3066
2502,ZH032095,2021-06-29,2.2954
2506,ZH032095,2021-06-30,2.3272
2509,ZH032095,2021-07-01,2.3171
2514,ZH032095,2021-07-02,2.2803
2517,ZH032095,2021-07-05,2.2961
2523,ZH032095,2021-07-06,2.2949
2525,ZH032095,2021-07-07,2.3332
2529,ZH032095,2021-07-08,2.3304
2534,ZH032095,2021-07-09,2.329
2537,ZH032095,2021-07-12,2.3671
2542,ZH032095,2021-07-13,2.3714
